collection_no,record_type,formation,lng,lat,collection_name,collection_subset,collection_aka,n_occs,early_interval,late_interval,max_ma,min_ma,reference_no,reference_nos,collection_type,collection_methods,museum,collection_coverage,collection_size,rock_censused,collectors,collection_dates,collection_comments,taxonomy_comments,primary_reference
18572,col,Arcadia,-82.800003,27.799999,Oldsmar Pit 2 (Arcadia Formation),,,1,Miocene,,23.03,5.333,2050,2050,,,,,,,,,,,"P. F. Karrow, G. S. Morgan, and R. W. Portell, E. Simons, K. Auffenberg. 1996. Middle Pleistocene (early Rancholabrean) vertebrates and associated marine and non-marine invertebrates from Oldsmar, Pinnellas County, Florida.  In K. M. Stewart, K. L. Seymour (eds.), Palaeoecology and palaeoenvironments of late Cenozoic mammals: Tributes to the career of C.S. (Rufus) Churcher. Toronto: University of Toronto Press."
18574,col,,-82.099998,29.799999,Pareners Branch,,,6,Miocene,,23.03,5.333,1951,"19,516,294",,,,some genera,,,,,,equids only,"R. C. Hulbert, Jr. 1988. Cormohipparion and Hipparion (Mammalia, Perissodactyla, Equidae) from the Late Neogene of Florida. Bulletin of the Florida State Museum, Biological Sciences 33(5):229-338"
18575,col,,-82.400002,28.299999,Pasco County Arikareean Site,,,1,Miocene,,23.03,5.333,937,937,,selective quarrying,,some genera,,,,,,"full name of locality not given; other taxa definitely present but not listed<br>said to be ""age equivalent with the Buda Local Fauna""","L. B. Albright. 1999. Ungulates of the Toledo Bend local fauna (late Arikareean, early Miocene), Texas Coastal Plain. Bulletin of the Florida Museum of Natural History, Biological Sciences 42(1):1-80"
18576,col,,-82.400002,28.299999,Pasco County Chadronian/Orellan Site,,,1,Chadronian,Orellan,37.2,33.3,937,937,taxonomic,,,some genera,,,,,,said to be below the Suwannee Limestone,"L. B. Albright. 1999. Ungulates of the Toledo Bend local fauna (late Arikareean, early Miocene), Texas Coastal Plain. Bulletin of the Florida Museum of Natural History, Biological Sciences 42(1):1-80"
18578,col,,-81.900002,27.5,Peace River,,,4,Miocene,,23.03,5.333,1951,"19,511,953,629,424,900",,,,some genera,,,,,,the Peace River continues into Polk Co. near several fossiliferous mines: see Morgan 1994,"R. C. Hulbert, Jr. 1988. Cormohipparion and Hipparion (Mammalia, Perissodactyla, Equidae) from the Late Neogene of Florida. Bulletin of the Florida State Museum, Biological Sciences 33(5):229-338"
18581,col,Bone Valley,-82.5,27.5,Port Manatee,,,12,Hemphillian,,10.3,4.9,1951,"19,511,953,629,416,500",general faunal/floral,,,some genera,,,,,,Port Manatee Local fauna,"R. C. Hulbert, Jr. 1988. Cormohipparion and Hipparion (Mammalia, Perissodactyla, Equidae) from the Late Neogene of Florida. Bulletin of the Florida State Museum, Biological Sciences 33(5):229-338"
18582,col,Torreya,-84.5,30.5,Quincy,,,1,Middle Miocene,,15.97,11.608,1146,1146,taxonomic,,,,,,,,,"only one taxon is present<br>see also Simpson 1930b<br>""cf. Aphelops sp."" is listed by Simpson 1930b, not  clear why this is omitted by Bryant et al.","J. D. Bryant, B. J. MacFadden, and P. A. Mueller. 1992. Improved chronologic resolution of the Hawthorn and the Alum Bluff Groups in northern Florida: Implications for Miocene chronostratigraphy. Geological Society America Bulletin 104(2):208-218"
18583,col,Peace River,-81.800003,27.9,Red Zone Phosphoria Mine,,,5,Tortonian,Zanclean,11.62,3.6,1951,"19,516,294",taxonomic,,,some genera,,,,,,equids only,"R. C. Hulbert, Jr. 1988. Cormohipparion and Hipparion (Mammalia, Perissodactyla, Equidae) from the Late Neogene of Florida. Bulletin of the Florida State Museum, Biological Sciences 33(5):229-338"
18584,col,,-81.800003,27.9,Rick's Pump Site,,,4,Hemphillian,,10.3,4.9,1951,"19,516,294",taxonomic,,,some genera,,,,,,equids only,"R. C. Hulbert, Jr. 1988. Cormohipparion and Hipparion (Mammalia, Perissodactyla, Equidae) from the Late Neogene of Florida. Bulletin of the Florida State Museum, Biological Sciences 33(5):229-338"
18585,col,Statenville,-83,30.4,Roaring Creek,,,3,Barstovian,,15.97,13.6,2612,"26,126,294",biostratigraphic,,,,,,,,,apparently separated from Occidental Mine on biochronological grounds; see discussion of C. proplacidus in Morgan 1989<br>list probably incomplete,"G. S. Morgan. 1993. Mammalian biochronology and marine-nonmarine correlations in the Neogene of Florida. Neogene of Florida and adjacent regions; proceedings of the Third Bald Head Island conference on Coastal plains geology. Special Publication, Florida Geological Survey 37:55-66"
18588,col,Peace River,-81.800003,27.9,Silver City Mine,,,5,Clarendonian,,13.6,10.3,3558,"1,951,355,837,743,850,000,000,000",general faunal/floral,,,some genera,,,,,,,"X. Wang, R. H. Tedford, and B. E. Taylor. 1999. Phylogenetic systematics of the Borophaginae (Carnivora: Canidae). Bulletin of the American Museum of Natural History 243:1-392"
18589,col,Torreya,-84.5,30.5,Smith Mine,,Floridin Smith Mine; Willacoochee Creek (in part),1,Early Barstovian,,15.97,13.6,1145,"11,456,294",taxonomic,"bulk,sieve,field collection",,,,,,,,diagenetically altered shells from the same section yield a date of 15.0 +/- 1.0 Ma (Sr isotope ratio): Bryant et al. 1992,"J. D. Bryant. 1991. New early Barstovian (middle Miocene) vertebrates from the upper Torreya Formation, eastern Florida panhandle. Journal of Vertebrate Paleontology 11(4):472-489"
18590,col,,-84.199997,30.299999,St. Mark's River,,,1,Miocene,,23.03,5.333,4181,4181,,,,some genera,,,,,,said to be probably Arikareean,"M. C. Coombs, R. M. Hunt, Jr., and E. Stepleton, L. B. Albright, III, T. J. Fremd. 2001. Stratigraphy, chronology, biogeography, and taxonomy of early Miocene small chalicotheres of North America. Journal of Vertebrate Paleontology 21(3):607-620"
18591,col,,-83.699997,30.700001,State Highway 146,,,3,Miocene,,23.03,5.333,2691,"26,916,294",,,,,,,,,,,S. J. Olsen. 1964. An Upper Miocene fossil locality in north Florida. Quarterly Journal of the Florida Academy of Sciences 26(4):308-314
18592,col,Statenville,-82.900002,30.9,Statenville,,,7,Miocene,,23.03,5.333,6211,"261,262,116,294",,,,,,,,,,,"M. R. Voorhies. 1974. Late Miocene terrestrial mammals, Echols County, Georgia. Southeastern Geology 16(4):223-235"
18593,col,,-76.5,38.400002,St. Marys Formation,,,1,Miocene,,23.03,5.333,3383,"33,836,294",biostratigraphic,,,,,,,,,exact provenance not clear and county assignment is a guess,"R. H. Tedford and M. E. Hunter. 1984. Miocene marine-nonmarine correlations, Atlantic and Gulf Coastal Plains, North America. Palaeography, Palaeoclimatology, Palaeoecology 47:129-151"
18594,col,,-81.800003,27.9,Sweetwater Branch,,,3,Miocene,,23.03,5.333,2613,"26,136,294",,,,some genera,,,,,,unit is either the basal Bone Valley Fm. or the Arcadia Fm.; Morgan 1993 is unsure,"G. S. Morgan. 1994. Miocene and Pliocene marine mammal faunas from the Bone Valley Formation of central Florida. Contributions in Marine Mammal Paleontology Honoring Frank C. Whitmore Jr., Proceedings of the San Diego Society of Natural History 29:239-268"
18595,col,Peace River,-81.800003,27.9,Swift Mine,,,7,Late Hemphillian,,10.3,4.9,3558,"73,926,133,558,356,600,000,000,000,000,000",general faunal/floral,,,some genera,,,,,,C. cerasinus reported by Hulbert 1988a: site may be diachronous,"X. Wang, R. H. Tedford, and B. E. Taylor. 1999. Phylogenetic systematics of the Borophaginae (Carnivora: Canidae). Bulletin of the American Museum of Natural History 243:1-392"
18596,col,Torreya,-84.5,30.5,Tallahassee Water Works,,,2,Middle Miocene,,15.97,11.608,3719,"37,196,294",taxonomic,,,,,,,,,"Honey and Izett 1988 mention Parahippus leonensis from ""Tallahassee""; omitted by Bryant et al.",A. E. Wood. 1932. New heteromyid rodents from the Miocene of Florida. Bulletin of the Florida State Geological Survey 10
18597,col,Alachua,-82.599998,29.700001,Thomas Farm,,,42,Hemingfordian,,20.43,15.97,6560,"102,926,142,690,278,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",taxonomic,"bulk,selective quarrying,sieve,field collection","FLMNH,MCZ",,4310 specimens,,"C. Simpson, T. Barbour. P. Brodkorb","(Simpson), 1938 - 1942 (MCZ), 1959 (Brodkorb)",,"six fossiliferous levels, but no detectable faunal turnover: Pratt 1990<br>NISP 2445, based on Pratt 1990, but this excludes small mammals (NISP 82+) and includes 250 specimens that may be specifically indeterminate; total about 2527; Pratt and Morgan 1989 report 81 specimens of two species for which Black 1963a reported 5, hence his 105 specimens in three other species may now be represented by about 1700, for a rough total of 1783 small mammals and 4310 overall",T. E. White. 1942. The Lower Miocene mammal fauna of Florida. Bulletin of the Museum of Comparative Zoology 92(1):1-49
18598,col,,-82.099998,29.799999,T.A. Thompson Mine,,,2,Miocene,,23.03,5.333,3132,"31,326,294",,,,,,,,,,,G. G. Simpson. 1930. Tertiary Land Mammals of Florida. Bulletin of the American Museum of Natural History 59(3):1-64
18599,col,Peace River,-81.800003,27.9,Tiger Bay Mine,,,8,Late Hemphillian,,10.3,4.9,3570,"357,038,503,851,629,000,000,000,000,000",taxonomic,,,,,,,,,,"S. D. Webb. 1981. Kyptoceras amatorum, New Genus and Species from the Pliocene of Florida, the Last Protoceratid Artiodactyl. Journal of Vertebrate Paleontology 1(3-4):357-365"
18600,col,,-82.099998,29.799999,VA Hospital Site,,,1,Miocene,,23.03,5.333,1951,"19,516,294",,,,some genera,,,,,,,"R. C. Hulbert, Jr. 1988. Cormohipparion and Hipparion (Mammalia, Perissodactyla, Equidae) from the Late Neogene of Florida. Bulletin of the Florida State Museum, Biological Sciences 33(5):229-338"
18601,col,,-82.316666,28.799999,Withlacoochee River Site 4A,,,29,Hemphillian,,10.3,4.9,1051,"105,110,661,951,195,000,000,000,000,000,000,000,000,000,000,000,000,000,000",taxonomic,,FLMNH,,,,,,"Eocene, Hemphillian, and Rancholabrean fossils are all present but easily distinguished based on preservation and color","Site 4A is in Marion Co., site 4X in Citrus Co.: Webb 1989",J. J. Becker. 1985. Fossil herons (Aves: Ardeidae) of the late Miocene and early Pliocene of Florida. Journal of Vertebrate Paleontology 5(1):24-31
18602,col,,-82.199997,28.799999,Withlacoochee River Site 4X,,,5,Hemphillian,,10.3,4.9,1951,"1,951,355,838,506,290",taxonomic,,,some genera,,,,,,,"R. C. Hulbert, Jr. 1988. Cormohipparion and Hipparion (Mammalia, Perissodactyla, Equidae) from the Late Neogene of Florida. Bulletin of the Florida State Museum, Biological Sciences 33(5):229-338"
18603,col,,-82.300003,29.1,Withlacoochee River Site 5E,,,2,Late Hemphillian,,10.3,4.9,3850,"385,050,346",taxonomic,,,some genera,,,,,,,"R. C. Hulbert, Jr. 1987. Late Neogene Neohipparion (Mammalia, Equidae) from the Gulf Coastal Plain of Florida and Texas. Journal of Paleontology 61(4):809-830"
18604,col,Fleming,-95.199997,30.6,Akin Hill,,Garvin Gully fauna; TMM 30873; TMM 31387; TAM 46; Aiken Hill,5,Barstovian,,15.97,13.6,1833,"183,327,396,294",taxonomic,,TMM,,,,,,,"""very low in the Fleming section, and most of the exposures in this vicinity are Catahoula""; considered an equivalent of Cedar Run by Tedford et al. 1987",C. J. Hesse. 1943. A Preliminary Report on the Miocene Vertebrate Faunas of Southeast Texas. Transactions of the Texas Academy of Sciences 26:157-179
18605,col,,-95.699997,30.299999,Anderson,,,1,Miocene,,23.03,5.333,3658,"36,586,294",,,,,,,,,,supposed Garvin Gulley fauna,"J. A. Wilson. 1957. Early Miocene entelodonts, Texas Coastal Plain. American Journal of Science 255:641-649"
18606,col,,-95.900002,29.799999,S. F. Austin State Park,,TMM 40539,2,Miocene,,23.03,5.333,1951,"150,419,516,294",,,TMM,some genera,,,,,,,"R. C. Hulbert, Jr. 1988. Cormohipparion and Hipparion (Mammalia, Perissodactyla, Equidae) from the Late Neogene of Florida. Bulletin of the Florida State Museum, Biological Sciences 33(5):229-338"
18607,col,,-94.300003,30.799999,Belt's Creek,,TMM 40622,5,Miocene,,23.03,5.333,2807,"1,504,273,728,076,290",,,TMM,some genera,,,,,,,D. R. Prothero and E. M. Manning. 1987. Miocene rhinoceroses from the Texas Gulf Coastal Plain. Journal of Paleontology 61(2):388-423
18608,col,Fleming,-95.281998,30.716999,"Bennett Farm, San Jacinto County site 4",,"Point Blank fm; Site 4; TMM 31242, WPA, Work Project No. 17060",8,Barstovian,,15.97,13.6,71468,"150,418,332,807,303,000,000,000,000,000",general faunal/floral,"surface (in situ),field collection",TMM,,,,WPA,1941,,same level as Gay Hill,"Anonymous. 1941. The ninth quarterly report covering the quarter ending June 30, 1941 for the state-wide paleontologic-mineralogic survey in Texas. A Federal Works Agency Work Projects Administration Project. O.P. No. 665-66-3-233. State Serial No. 300-88. Austin: The University of Texas Bureau of Economic Geology."
18609,col,Fleming,-96.699997,29.700001,Bordon,,,1,Barstovian,,15.97,13.6,1833,"18,336,294",taxonomic,,,,,,,,,modern spelling of town name is Borden,C. J. Hesse. 1943. A Preliminary Report on the Miocene Vertebrate Faunas of Southeast Texas. Transactions of the Texas Academy of Sciences 26:157-179
18610,col,Goliad,-97.699997,28.6,"Bridge Ranch, Normanna",,"Lapara Creek fauna; Site 17; Bridge Estate; TMM 31132, WPA, Work Project No. 12510",30,Clarendonian,,13.6,10.3,71494,"1,504,194,919,512,730,000,000,000,000,000,000,000,000,000,000,000,000",general faunal/floral,"surface (in situ),field collection",TMM,some genera,,,WPA,1941,,"apparently lower than TMM 30896 and TMM 31081 as 1) it is said to be ""older"" by Tedford et al. 1987, and 2) the latter faunas are said to be near the top of the member<br>any Teleoceras is T. cf. major: Prothero and Manning 1987","E. H. Sellards. 1941. Final report covering the period from March 4, 1939 ro September 30, 1941 for the state-wide paleontologic-mineralogic survey in Texas. A Federal Works Agency Work Projects Administration Project. Austin: The University of Texas Bureau of Economic Geology."
18611,col,Goliad,-97.699997,28.6,"Buckner Ranch Locality, Site 1",,"Lapara Creek fauna; TMM 30896, Work Project No. 12510",25,Clarendonian,,13.6,10.3,71439,"1,504,194,927,372,800,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",general faunal/floral,"selective quarrying,surface (in situ),mechanical,field collection",TMM,,,,WPA,1939–1940,,said to be near top of member<br>misidentified as Farish Ranch/Berclair by Prothero and Manning 1987,"Anonymous. 1939. The first quarterly report covering the quarter ending June 30,1939 for the state-wide paleontologic-mineralogic survey in Texas. A Federal Works Agency Work Projects Administration Project. O.P. No. 665-66-3-233. State Serial No. 300-88. Austin: The University of Texas Bureau of Economic Geology."
18612,col,,-97.699997,28.6,Buckner Ranch Site 2,,"TMM 30898, Work Project No. 12510",4,Miocene,,23.03,5.333,71439,"19,516,294,686,327,100,000,000",general faunal/floral,"selective quarrying,surface (in situ),mechanical,field collection",TMM,some genera,,,WPA,1939,,,"Anonymous. 1939. The first quarterly report covering the quarter ending June 30,1939 for the state-wide paleontologic-mineralogic survey in Texas. A Federal Works Agency Work Projects Administration Project. O.P. No. 665-66-3-233. State Serial No. 300-88. Austin: The University of Texas Bureau of Economic Geology."
18614,col,,-93.400002,31,Burkeville (TAM 43),,BEG 175-T-3,4,Miocene,,23.03,5.333,1833,"1,504,183,332,146,190",,,,,,,,,,,C. J. Hesse. 1943. A Preliminary Report on the Miocene Vertebrate Faunas of Southeast Texas. Transactions of the Texas Academy of Sciences 26:157-179
18615,col,,-95,30.5,Caper Place,,,1,Miocene,,23.03,5.333,2739,2739,,,,some genera,,,,,,,"T. H. Patton and B. E. Taylor. 1971. The Synthetoceratinae (Mammalia, Tylopoda, Protoceratidae). Bulletin of the American Museum of Natural History 145(2):119-218"
18616,col,,-96,30,Cedar Creek (Texas),,TAM 44,1,Miocene,,23.03,5.333,1833,"18,336,294",,,,,,,,,,not the same as Cedar Run in Washington Co.,C. J. Hesse. 1943. A Preliminary Report on the Miocene Vertebrate Faunas of Southeast Texas. Transactions of the Texas Academy of Sciences 26:157-179
18617,col,Oakville,-96.099998,30.1,Cedar Run,,TMM 40068; Cedar Creek; Derrick Farm in part,14,Hemingfordian,,20.43,15.97,3749,"935,936,937,150,435,000,000,000,000,000,000,000,000",,,TMM,,,,,,,,H. E. Wood and A. E. Wood. 1937. Mid-Tertiary Vertebrates from the Texas Coastal Plain: Fact and Fable. American Midland Naturalist 18(1):129-146
18618,col,,-96.099998,30.1,Chapel Hill,,TMM 31272; Chapell Hill,5,Miocene,,23.03,5.333,2807,"15,041,949,280,734,300,000",,,TMM,some genera,,,,,,,D. R. Prothero and E. M. Manning. 1987. Miocene rhinoceroses from the Texas Gulf Coastal Plain. Journal of Paleontology 61(2):388-423
18619,col,Fleming,-95.131897,30.6117,"Cold Spring, San Jacinto site 3",,"Anderson Site 2; Jim Donahoe or Donohoe Farm; A. D. Donohoe Pit; TMM 31219; TAM 38 (in part), WPA, Work Project No. 17060",22,Barstovian,,15.97,13.6,71468,"1,504,183,319,492,730,000,000,000,000,000,000,000,000,000,000,000",general faunal/floral,"bulk,selective quarrying,surface (in situ),sieve,field collection",TMM,,,,WPA,1941,,"called ""Trinity River local fauna"" by Slaughter 1981<br>early ""Cold Springs area"" F:AM collections of Riley are from this locality<br>Anderson Site 2 is ""2.4 km (1.5 miles) north of Coldspring"": Schiebout and Ting 1998<br>at top of Fleming section and above Point Blank localities","Anonymous. 1941. The ninth quarterly report covering the quarter ending June 30, 1941 for the state-wide paleontologic-mineralogic survey in Texas. A Federal Works Agency Work Projects Administration Project. O.P. No. 665-66-3-233. State Serial No. 300-88. Austin: The University of Texas Bureau of Economic Geology."
18620,col,,-95.400002,30.1,Diamond Mountain,,TAM 40; R. R. McPherson Land; Iron Mound,9,Miocene,,23.03,5.333,1833,"150,418,336,294",,,,,,,,,,,C. J. Hesse. 1943. A Preliminary Report on the Miocene Vertebrate Faunas of Southeast Texas. Transactions of the Texas Academy of Sciences 26:157-179
18621,col,Fleming,-93.099998,31.1,Discovery Site (Fort Polk),,,16,Barstovian,,15.97,13.6,3030,"3,029,303,041,526,290",general faunal/floral,"bulk,sieve",,,70 specimens,,,,,"actually in Vernon ""Parish""<br>apparently does not include new material reported by Schiebout and Ting 1996, Ting and Schiebout 1997, of which Eomyidae indet. of the former cannot be allocated to an exact sites<br>total generically identifiable NISP 70","J. A. Schiebout. 1997. Paleofaunal survey, collecting, processing, and documentation at two locations on Fort Polk, Louisiana. U.S. Army Corps of Engineers, Fort Worth District; Contract No. DACW63-90-D-0008, Delivery Order 13 [No sponsoring agency report number given]"
18622,col,Fleming,-96.699997,29.700001,Dripping Springs,,TMM 880,1,Barstovian,,15.97,13.6,1833,"18,336,294",taxonomic,,TMM,,,,,,,reported by Weeks 1945 as Dripping Springs and by Hesse as TMM 880,C. J. Hesse. 1943. A Preliminary Report on the Miocene Vertebrate Faunas of Southeast Texas. Transactions of the Texas Academy of Sciences 26:157-179
18623,col,Goliad,-97.699997,28.6,"Farish Ranch, Medio Creek",,"Lapara Creek fauna; Berclair; Site 15; TMM 31081, WPA",31,Clarendonian,,13.6,10.3,71468,"1,504,194,919,512,730,000,000,000,000,000,000,000,000,000",general faunal/floral,"surface (in situ),field collection",TMM,some genera,,,WPA,1941,,said to be near top of member<br>any Teleoceras is T. cf. major: Prothero and Manning 1987,"Anonymous. 1941. The ninth quarterly report covering the quarter ending June 30, 1941 for the state-wide paleontologic-mineralogic survey in Texas. A Federal Works Agency Work Projects Administration Project. O.P. No. 665-66-3-233. State Serial No. 300-88. Austin: The University of Texas Bureau of Economic Geology."
18624,col,,-96.900002,29.799999,J. Fiestam's Farm,,,1,Miocene,,23.03,5.333,1833,"18,332,807",,,,,,,,,,only one specimen,C. J. Hesse. 1943. A Preliminary Report on the Miocene Vertebrate Faunas of Southeast Texas. Transactions of the Texas Academy of Sciences 26:157-179
18625,col,,-95.233101,30.684299,"Foster Estate, San Jacinto County Site 6",,"Point Blank fauna; TMM 31244; WPA, Work Project No. 17060",4,Miocene,,23.03,5.333,71468,"15,041,833,629,471,400",general faunal/floral,"surface (in situ),field collection",TMM,,,,WPA,1941,,,"Anonymous. 1941. The ninth quarterly report covering the quarter ending June 30, 1941 for the state-wide paleontologic-mineralogic survey in Texas. A Federal Works Agency Work Projects Administration Project. O.P. No. 665-66-3-233. State Serial No. 300-88. Austin: The University of Texas Bureau of Economic Geology."
18626,col,Oakville,-95.699997,30.299999,Garvin Gully,,"TMM 31084; TAM 20; Garvin Farm, WPA",24,Hemingfordian,,20.43,15.97,71494,"93,715,041,833,273,700,000,000,000,000,000,000,000",general faunal/floral,"mechanical,survey of museum collection",TMM,,,,,,,"placed high in section by Tedford et al. 1987<br>unnumbered TAMU Nothokemas floridanus specimen of  Patton 1969a could be from another locality in the  ""Garvin Gully"" fauna","E. H. Sellards. 1941. Final report covering the period from March 4, 1939 ro September 30, 1941 for the state-wide paleontologic-mineralogic survey in Texas. A Federal Works Agency Work Projects Administration Project. Austin: The University of Texas Bureau of Economic Geology."
18627,col,Fleming,-95.269798,30.749701,"Gay Hill, San Jacinto County site 1",,"Point Blank fauna; TMM 31190; Ella McMurray Farm, WPA, Work Project No. 17060",11,Barstovian,,15.97,13.6,71468,"93,415,041,833,273,700,000,000,000,000,000",general faunal/floral,"surface (in situ),field collection",TMM,,29 specimens,,WPA,1941,,"UNSM sample listed by Hinderstein and Boyce 1977<br>stratigraphically beneath Cold Spring<br>""29 specimens""","Anonymous. 1941. The ninth quarterly report covering the quarter ending June 30, 1941 for the state-wide paleontologic-mineralogic survey in Texas. A Federal Works Agency Work Projects Administration Project. O.P. No. 665-66-3-233. State Serial No. 300-88. Austin: The University of Texas Bureau of Economic Geology."
18628,col,Fleming,-94.913002,30.593399,Goodrich Site 1,,"Smith Ranch; TMM 31183, WPA",8,Barstovian,,15.97,13.6,71468,"15,041,833,194,927,300,000,000,000,000",general faunal/floral,"surface (in situ),field collection",TMM,,99 specimens,,WPA,1941,,"""99 catalogued specimens""","Anonymous. 1941. The ninth quarterly report covering the quarter ending June 30, 1941 for the state-wide paleontologic-mineralogic survey in Texas. A Federal Works Agency Work Projects Administration Project. O.P. No. 665-66-3-233. State Serial No. 300-88. Austin: The University of Texas Bureau of Economic Geology."
18629,col,Fleming,-94.699997,30.700001,Goodrich Site 2,,TMM 31184; Site 18,12,Barstovian,,15.97,13.6,1833,"15,041,833,194,919,500,000,000,000,000",taxonomic,,TMM,,12 specimens,,,,,"I assume that Hesse's list for a second TMM 31183 in the Goodrich fauna is a lapsus and refers to this site<br>""12 specimens""",C. J. Hesse. 1943. A Preliminary Report on the Miocene Vertebrate Faunas of Southeast Texas. Transactions of the Texas Academy of Sciences 26:157-179
18630,col,,-94.914803,30.6031,"Goodrich Site 3, Lowe place",,"TMM 31200, WPA, Work Project No. 17060, Willard Lumber",9,Miocene,,23.03,5.333,71467,"1,504,194,962,947,140,000,000",general faunal/floral,"surface (in situ),field collection",TMM,some genera,,,WPA,1941,,,"Anonymous. 1941. The eighth quarterly report covering the quarter ending March 31, 1941 for the state-wide paleontologic-mineralogic survey in Texas. A Federal Works Agency Work Projects Administration Project. O.P. No. 665-66-3-233. State Serial No. 300-88. Austin: The University of Texas Bureau of Economic Geology."
18631,col,Fleming,-94.699997,30.700001,Goodrich (F:AM),,,1,Barstovian,,15.97,13.6,3558,3558,taxonomic,,,some genera,,,,,,,"X. Wang, R. H. Tedford, and B. E. Taylor. 1999. Phylogenetic systematics of the Borophaginae (Carnivora: Canidae). Bulletin of the American Museum of Natural History 243:1-392"
18632,col,Fleming,-93.099998,31.1,Gully Site,,,6,Barstovian,,15.97,13.6,3030,"303,041,526,294",general faunal/floral,"bulk,sieve",,,30 specimens,,,,,"actually in Vernon ""Parish""<br>total generically identifiable NISP 30","J. A. Schiebout. 1997. Paleofaunal survey, collecting, processing, and documentation at two locations on Fort Polk, Louisiana. U.S. Army Corps of Engineers, Fort Worth District; Contract No. DACW63-90-D-0008, Delivery Order 13 [No sponsoring agency report number given]"
18633,col,,-97,29.4,Hallettsville,,,1,Miocene,,23.03,5.333,2807,2807,,,,some genera,,,,,,TAM locality,D. R. Prothero and E. M. Manning. 1987. Miocene rhinoceroses from the Texas Gulf Coastal Plain. Journal of Paleontology 61(2):388-423
18634,col,,-95,30.5,E. R. Harvey No. 1,,,1,Miocene,,23.03,5.333,2739,"27,396,294",,,,some genera,,,,,,,"T. H. Patton and B. E. Taylor. 1971. The Synthetoceratinae (Mammalia, Tylopoda, Protoceratidae). Bulletin of the American Museum of Natural History 145(2):119-218"
18635,col,Oakville,-96.099998,30.1,Hidalgo Bluff,,Garvin Gully fauna; TMM 40067; TAM 47,12,Hemingfordian,,20.43,15.97,1833,"93,415,041,833,273,700,000,000,000,000,000",,,TMM,,,,,,,,C. J. Hesse. 1943. A Preliminary Report on the Miocene Vertebrate Faunas of Southeast Texas. Transactions of the Texas Academy of Sciences 26:157-179
18636,col,,-96.099998,30.1,Highway 36,,,1,Miocene,,23.03,5.333,2739,2739,,,,some genera,,,,,,stratigraphic level unclear,"T. H. Patton and B. E. Taylor. 1971. The Synthetoceratinae (Mammalia, Tylopoda, Protoceratidae). Bulletin of the American Museum of Natural History 145(2):119-218"
18637,col,Fleming,-95,30.5,Sam Houston,,Cold Spring fauna; TMM 31191; TAM 38 (in part),14,Barstovian,,15.97,13.6,1833,"1,504,183,319,492,800,000,000,000,000",taxonomic,,TMM,,16 specimens,,,,,"stratigraphic equivalent of Cold Spring according to Hesse, but said to be ""toward the top of the exposed section"" and only .5 mile from Cold Spring; Tedford et al. 1987 indicate it is stratigraphically higher<br>""16 specimens""",C. J. Hesse. 1943. A Preliminary Report on the Miocene Vertebrate Faunas of Southeast Texas. Transactions of the Texas Academy of Sciences 26:157-179
18638,col,Oakville,-96.099998,30.1,Independence,,,3,Miocene,,23.03,5.333,1833,"15,041,833",,,,,,,,,,collection of Leidy,C. J. Hesse. 1943. A Preliminary Report on the Miocene Vertebrate Faunas of Southeast Texas. Transactions of the Texas Academy of Sciences 26:157-179
18639,col,Fleming,-96.900002,29.799999,Ernest Kurgeis Land,,,1,Barstovian,,15.97,13.6,1833,"18,336,294",taxonomic,,,,,,,,,,C. J. Hesse. 1943. A Preliminary Report on the Miocene Vertebrate Faunas of Southeast Texas. Transactions of the Texas Academy of Sciences 26:157-179
18640,col,Goliad,-97.958397,28.343399,"Lapara Creek Site 8, Ten Mile Creek",,"George West; TMM 30936, Work Project No. 12592, Live Oak County Site VIII",21,Clarendonian,,13.6,10.3,71437,"1,504,194,919,512,730,000,000,000,000,000,000,000,000,000,000,000",general faunal/floral,"surface (in situ),mechanical,field collection",TMM,some genera,200 specimens,,WPA,1939,,"locality ""8 1/2 miles below George West"" of Weeks 1945 is fictional: Wilson 1956","Anonymous. 1939. The second quarterly report covering the quarter ending September 30,1939 for the state-wide paleontologic-mineralogic survey in Texas. A Federal Works Agency Work Projects Administration Project. O.P. No. 665-66-3-233. State Serial No. 300-88. Austin: The University of Texas Bureau of Economic Geology."
18641,col,,-95,30.5,Love Place,,,1,Miocene,,23.03,5.333,2739,2739,,,,some genera,,,,,,,"T. H. Patton and B. E. Taylor. 1971. The Synthetoceratinae (Mammalia, Tylopoda, Protoceratidae). Bulletin of the American Museum of Natural History 145(2):119-218"
18642,col,Fleming,-95,30.5,Mann Place,,Kelly Place; Mann Farm; Kelly Farm,4,Barstovian,,15.97,13.6,3558,"93,727,393,558",general faunal/floral,,,some genera,,,,,,,"X. Wang, R. H. Tedford, and B. E. Taylor. 1999. Phylogenetic systematics of the Borophaginae (Carnivora: Canidae). Bulletin of the American Museum of Natural History 243:1-392"
18643,col,,-95,30.5,McKenney Place,,,1,Miocene,,23.03,5.333,2807,2807,,,,some genera,,,,,,F:AM locality,D. R. Prothero and E. M. Manning. 1987. Miocene rhinoceroses from the Texas Gulf Coastal Plain. Journal of Paleontology 61(2):388-423
